상권_코드,상권_코드_명,상권_구분_코드_명,floating_population,resident_population,households,worker_population,apartment_complexes,apartment_avg_value,store_auto_beauty,store_auto_repair,store_gas_station,store_convenience,sales_auto_beauty,sales_auto_repair,sales_convenience,population_quarter,commercial_quarter
3130301,양재시장,전통시장,53552,172.0,124.0,408.0,5.0,213066667.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130296,남부종합시장,전통시장,34472,186.0,75.0,413.0,4.0,336670758.0,1.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130295,인헌시장(원당종합시장),전통시장,273365,1247.0,917.0,528.0,9.0,154154491.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130294,관악중부시장,전통시장,360232,690.0,534.0,454.0,3.0,194666667.0,,,,,,,,2026Q2,2025Q4
3130293,봉천중앙시장,전통시장,101488,504.0,431.0,127.0,2.0,205843434.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130292,봉천현대시장,전통시장,93602,9.0,5.0,53.0,,,,,,,,,,2026Q2,2025Q4
3130291,봉천제일종합시장,전통시장,26355,238.0,226.0,48.0,,,,,,,,,,2026Q2,2025Q4
3130290,영림시장,전통시장,456956,2079.0,1555.0,868.0,27.0,235725583.0,0.0,0.0,0.0,0.0,0.0,0.0,299456393.0,2026Q2,2025Q4
3130289,봉일시장,전통시장,64092,1.0,1.0,157.0,,,,,,,,,,2026Q2,2025Q4
3130288,신림현대종합상가,전통시장,17007,14.0,8.0,56.0,,,,,,,,,,2026Q2,2025Q4
3130287,삼성동 시장(삼성동시장),전통시장,1148182,136.0,104.0,30.0,,,,,,,,,,2026Q2,2025Q4
3130286,신신림시장(삼성동시장),전통시장,105894,32.0,22.0,51.0,,,,,,,,,,2026Q2,2025Q4
3130285,서원동상점가,전통시장,870263,896.0,818.0,988.0,1.0,93075000.0,0.0,0.0,0.0,1.0,0.0,0.0,1778885526.0,2026Q2,2025Q4
3130284,관악종합시장(신원시장),전통시장,58228,7.0,5.0,12.0,,,,,,,,,,2026Q2,2025Q4
3130283,신원시장,전통시장,601072,435.0,305.0,103.0,4.0,172078889.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130282,난곡 골목형상점가,전통시장,65842,313.0,158.0,58.0,2.0,187442857.0,,,,,,,,2026Q2,2025Q4
3130281,우림시장,전통시장,49114,92.0,38.0,66.0,1.0,204454545.0,0.0,0.0,0.0,1.0,,,,2026Q2,2025Q4
3130280,신림종합시장,전통시장,34263,266.0,220.0,63.0,,,,,,,,,,2026Q2,2025Q4
3130279,관악신사시장,전통시장,521026,1991.0,1253.0,373.0,26.0,187307978.0,,,,,,,,2026Q2,2025Q4
3130278,미성동 도깨비시장 골목형상점가,전통시장,253347,733.0,400.0,195.0,9.0,126452646.0,,,,,,,,2026Q2,2025Q4
3130277,조원동 펭귄시장(신림중앙시장),전통시장,178971,1361.0,882.0,173.0,17.0,180005093.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130276,신림중앙시장(조원동 펭귄시장),전통시장,122919,58.0,51.0,50.0,2.0,87040000.0,,,,,,,,2026Q2,2025Q4
3130275,강남골목시장,전통시장,494240,387.0,261.0,88.0,3.0,162272222.0,,,,,,,,2026Q2,2025Q4
3130274,사당1동먹자골목상점가(사당1동먹자골목),전통시장,757568,712.0,512.0,492.0,4.0,177781528.0,0.0,0.0,0.0,1.0,,,,2026Q2,2025Q4
3130273,남성사계시장(남성시장),전통시장,1014167,696.0,476.0,380.0,2.0,143825000.0,0.0,0.0,0.0,1.0,,,,2026Q2,2025Q4
3130272,사당시장,전통시장,38532,8.0,4.0,112.0,,,,,,,,,,2026Q2,2025Q4
3130271,남성역골목시장,전통시장,552642,523.0,318.0,267.0,5.0,191120595.0,0.0,1.0,1.0,0.0,0.0,0.0,39000000.0,2026Q2,2025Q4
3130270,흑석시장,전통시장,74613,42.0,28.0,3.0,,,,,,,,,,2026Q2,2025Q4
3130269,강남시장(동작구 강남시장),전통시장,46718,109.0,66.0,82.0,1.0,82816667.0,,,,,,,,2026Q2,2025Q4
3130268,상도전통시장,전통시장,198707,1452.0,915.0,564.0,14.0,199827025.0,1.0,2.0,0.0,1.0,,,,2026Q2,2025Q4
3130267,본동인정시장(기능상실),전통시장,188712,85.0,57.0,72.0,1.0,503454545.0,,,,,,,,2026Q2,2025Q4
3130266,만양로상점가,전통시장,118007,104.0,96.0,73.0,,,0.0,0.0,0.0,1.0,,,,2026Q2,2025Q4
3130265,노량진중앙시장,전통시장,222594,166.0,150.0,107.0,,,,,,,,,,2026Q2,2025Q4
3130264,상도약수골목형상점가,전통시장,160988,499.0,274.0,134.0,11.0,210233333.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130263,신노량진시장(기능상실),전통시장,12782,202.0,127.0,60.0,,,,,,,,,,2026Q2,2025Q4
3130262,상도도깨비 골목형상점가,전통시장,126868,434.0,280.0,58.0,9.0,202423611.0,,,,,,,,2026Q2,2025Q4
3130261,성대전통시장(성대시장),전통시장,208542,1681.0,1071.0,389.0,14.0,202004445.0,0.0,0.0,0.0,1.0,,,,2026Q2,2025Q4
3130260,신대방1동골목상권,전통시장,143344,497.0,303.0,452.0,3.0,150693056.0,1.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130259,대신시장,전통시장,37285,226.0,118.0,28.0,,,1.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130258,영진시장A동,전통시장,36507,48.0,26.0,22.0,1.0,130000000.0,,,,,,,,2026Q2,2025Q4
3130257,영등포시장기계공구상가,전통시장,186480,886.0,749.0,279.0,,,1.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130256,신동시장,전통시장,127045,37.0,22.0,12.0,,,,,,,,,,2026Q2,2025Q4
3130255,영등포전통시장,전통시장,747943,573.0,449.0,221.0,2.0,194937500.0,,,,,,,,2026Q2,2025Q4
3130254,남서울상가,전통시장,52672,2.0,2.0,9.0,,,,,,,,,,2026Q2,2025Q4
3130253,영신상가(제일상가),전통시장,57761,32.0,29.0,45.0,,,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130250,삼구시장(로타리상가),전통시장,58495,4.0,4.0,37.0,,,,,,,,,,2026Q2,2025Q4
3130249,동남상가,전통시장,54880,142.0,69.0,,1.0,148325000.0,,,,,,,,2026Q2,2025Q4
3130248,영등포역지하도상점가,전통시장,116480,40.0,30.0,1605.0,,,1.0,0.0,0.0,8.0,0.0,0.0,758630169.0,2026Q2,2025Q4
3130247,우리시장,전통시장,275886,332.0,189.0,78.0,,,,,,,,,,2026Q2,2025Q4
3130246,영등포청과시장(조광시장),전통시장,1420678,1877.0,1299.0,544.0,23.0,192740720.0,0.0,1.0,2.0,2.0,0.0,0.0,114152275.0,2026Q2,2025Q4
3130245,영일시장,전통시장,230388,118.0,82.0,4794.0,,,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130244,대림중앙시장,전통시장,354121,924.0,544.0,361.0,7.0,141574127.0,1.0,2.0,0.0,0.0,,,,2026Q2,2025Q4
3130243,도림시장,전통시장,50415,70.0,49.0,48.0,,,,,,,,,,2026Q2,2025Q4
3130242,대림중앙 골목형상점가,전통시장,252988,381.0,200.0,166.0,3.0,153041667.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130241,선유도역 골목형상점가,전통시장,244506,1357.0,707.0,2951.0,6.0,204034293.0,1.0,2.0,0.0,3.0,0.0,0.0,413715341.0,2026Q2,2025Q4
3130240,영등포유통상가,전통시장,27453,739.0,507.0,1053.0,,,1.0,2.0,1.0,5.0,0.0,0.0,229868788.0,2026Q2,2025Q4
3130239,양남시장,전통시장,19374,,,,,,,,,,,,,2026Q2,2025Q4
3130238,은행나무시장,전통시장,437595,1226.0,623.0,118.0,24.0,156242274.0,0.0,4.0,0.0,0.0,0.0,111526165.0,0.0,2026Q2,2025Q4
3130237,박미시장(기능상실),전통시장,4867,161.0,75.0,65.0,3.0,153166667.0,,,,,,,,2026Q2,2025Q4
3130236,비단길현대시장(현대시장),전통시장,540791,1963.0,1190.0,461.0,17.0,140541480.0,0.0,0.0,0.0,0.0,0.0,0.0,203315007.0,2026Q2,2025Q4
3130235,대명여울빛거리시장(대명시장),전통시장,193042,770.0,637.0,727.0,5.0,125109182.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130234,푸른터시장(기능상실),전통시장,17257,238.0,141.0,17.0,3.0,169087273.0,,,,,,,,2026Q2,2025Q4
3130233,남문시장,전통시장,131389,1409.0,776.0,244.0,26.0,157558296.0,,,,,,,,2026Q2,2025Q4
3130232,독산동 맛나는거리상점가(독산동 맛나는거리),전통시장,206421,796.0,482.0,96.0,9.0,128490095.0,,,,,,,,2026Q2,2025Q4
3130231,독산동 우시장,전통시장,187821,1754.0,1070.0,871.0,2.0,538863636.0,1.0,2.0,1.0,0.0,,,,2026Q2,2025Q4
3130230,가리봉시장,전통시장,152574,156.0,111.0,31.0,,,,,,,,,,2026Q2,2025Q4
3130229,남구로시장,전통시장,734868,543.0,351.0,290.0,15.0,97074944.0,0.0,0.0,0.0,1.0,,,,2026Q2,2025Q4
3130228,구로시장,전통시장,962525,176.0,108.0,96.0,3.0,134962963.0,,,,,,,,2026Q2,2025Q4
3130227,고척골목시장상점가(그라운드 고척),전통시장,76330,247.0,154.0,365.0,1.0,127900000.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130226,고척프라자,전통시장,30811,32.0,23.0,212.0,,,,,,,,,,2026Q2,2025Q4
3130225,개봉중앙시장,전통시장,519439,2847.0,1332.0,3096.0,91.0,145721926.0,0.0,0.0,0.0,2.0,0.0,0.0,658664378.0,2026Q2,2025Q4
3130224,개봉프라자(고척근린시장),전통시장,5837,132.0,59.0,32.0,1.0,170166667.0,,,,,,,,2026Q2,2025Q4
3130223,고척근린시장,전통시장,203969,471.0,275.0,428.0,1.0,147272727.0,,,,,,,,2026Q2,2025Q4
3130222,오류시장,전통시장,319198,124.0,95.0,281.0,1.0,199000000.0,,,,,,,,2026Q2,2025Q4
3130221,"남부골목시장(남부화곡시장, 남부시장)",전통시장,300959,1973.0,986.0,642.0,29.0,151814902.0,,,,,,,,2026Q2,2025Q4
3130220,등마루시장,전통시장,20098,588.0,401.0,117.0,1.0,338666667.0,,,,,,,,2026Q2,2025Q4
3130219,까치산시장,전통시장,1926925,948.0,558.0,519.0,27.0,132143288.0,0.0,0.0,0.0,1.0,,,,2026Q2,2025Q4
3130218,신월중앙시장,전통시장,40437,72.0,42.0,258.0,,,,,,,,,,2026Q2,2025Q4
3130217,화곡본동시장,전통시장,206434,312.0,186.0,217.0,12.0,131436532.0,,,,,,,,2026Q2,2025Q4
3130216,화곡중앙시장,전통시장,248155,958.0,510.0,186.0,29.0,124875890.0,,,,,,,,2026Q2,2025Q4
3130215,대원종합시장,전통시장,39232,,,21.0,,,,,,,,,,2026Q2,2025Q4
3130214,송화벽화시장(송화골목시장),전통시장,113983,628.0,324.0,244.0,12.0,171498067.0,0.0,0.0,0.0,1.0,0.0,0.0,215396889.0,2026Q2,2025Q4
3130213,방신전통시장,전통시장,174068,421.0,193.0,504.0,3.0,287294444.0,,,,,,,,2026Q2,2025Q4
3130212,공항시장,전통시장,267343,377.0,338.0,35.0,2.0,178994156.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130211,신정2동 골목시장(오목교중앙시장),전통시장,51057,680.0,335.0,803.0,5.0,287984259.0,,,,,,,,2026Q2,2025Q4
3130210,목2동시장,전통시장,441154,1140.0,742.0,1016.0,21.0,173793846.0,0.0,0.0,0.0,1.0,0.0,0.0,401267735.0,2026Q2,2025Q4
3130209,목사랑시장(목4동시장),전통시장,332262,1505.0,622.0,220.0,26.0,187749361.0,,,,,,,,2026Q2,2025Q4
3130208,목동깨비시장(목3동시장),전통시장,192030,1193.0,665.0,465.0,12.0,228480556.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130207,신정1동 골목시장(신정제일시장),전통시장,75321,150.0,95.0,989.0,2.0,188220779.0,,,,,,,,2026Q2,2025Q4
3130206,신정3동 골목시장,전통시장,43769,39.0,24.0,123.0,,,0.0,0.0,0.0,1.0,,,,2026Q2,2025Q4
3130205,신곡종합시장(신월6동 골목시장),전통시장,34154,140.0,78.0,245.0,,,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130204,경창시장,전통시장,205469,746.0,310.0,420.0,14.0,151858250.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130203,서서울 골목형상점가,전통시장,88590,504.0,323.0,112.0,3.0,113388889.0,1.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130202,신영시장,전통시장,127845,999.0,536.0,227.0,11.0,128622844.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130201,월정로시장,전통시장,159186,1371.0,755.0,74.0,24.0,116486105.0,0.0,1.0,0.0,0.0,,,,2026Q2,2025Q4
3130200,"신월7동 골목시장(약수시장, 우성상가)",전통시장,76367,226.0,107.0,166.0,11.0,105895604.0,0.0,1.0,0.0,0.0,,,,2026Q2,2025Q4
3130199,신월3동 골목시장,전통시장,263505,750.0,477.0,72.0,3.0,132082222.0,,,,,,,,2026Q2,2025Q4
3130198,아현시장,전통시장,332402,681.0,420.0,564.0,5.0,245230303.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130197,마포시장,전통시장,98346,59.0,57.0,149.0,,,,,,,,,,2026Q2,2025Q4
3130196,공덕시장,전통시장,44456,14.0,10.0,473.0,,,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130195,도화동 상점가,전통시장,1396023,2628.0,1562.0,2623.0,15.0,315800106.0,0.0,2.0,0.0,4.0,0.0,0.0,194091107.0,2026Q2,2025Q4
3130194,용강동 상점가,전통시장,384806,583.0,265.0,1613.0,4.0,390172222.0,1.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130193,신수시장,전통시장,59400,59.0,38.0,455.0,2.0,213187500.0,0.0,1.0,0.0,0.0,,,,2026Q2,2025Q4
3130192,동진시장,전통시장,42939,29.0,17.0,36.0,,,,,,,,,,2026Q2,2025Q4
3130191,홍대 걷고싶은 거리,전통시장,590011,478.0,332.0,882.0,5.0,121035833.0,0.0,0.0,0.0,2.0,0.0,0.0,1485688421.0,2026Q2,2025Q4
3130190,홍대소상공인상점가,전통시장,461693,307.0,247.0,475.0,7.0,137831259.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130189,서교시장,전통시장,66454,25.0,23.0,137.0,,,,,,,,,,2026Q2,2025Q4
3130188,합정시장,전통시장,53385,67.0,40.0,9.0,1.0,336416667.0,,,,,,,,2026Q2,2025Q4
3130187,영진시장,전통시장,42131,267.0,135.0,15.0,3.0,249143750.0,,,,,,,,2026Q2,2025Q4
3130186,망원시장,전통시장,246056,1617.0,898.0,329.0,48.0,211119074.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130185,망원월드컵시장,전통시장,207620,793.0,429.0,474.0,25.0,198435508.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130184,마포농수산물시장,전통시장,9301,,,135.0,,,0.0,0.0,0.0,1.0,,,,2026Q2,2025Q4
3130183,상암동상점가,전통시장,1233063,2447.0,1527.0,928.0,30.0,170337366.0,3.0,0.0,0.0,1.0,,,,2026Q2,2025Q4
3130182,영천시장,전통시장,379384,321.0,212.0,352.0,3.0,127232063.0,,,,,,,,2026Q2,2025Q4
3130181,아현가구거리상점가,전통시장,2233519,609.0,389.0,271.0,2.0,296045455.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130180,포방터시장,전통시장,211536,552.0,305.0,979.0,8.0,115069494.0,0.0,0.0,0.0,1.0,,,,2026Q2,2025Q4
3130179,"이화여대 3,5,7길 상점가",전통시장,1152103,1835.0,1670.0,173.0,8.0,130945455.0,0.0,0.0,0.0,1.0,0.0,0.0,124282370.0,2026Q2,2025Q4
3130178,이대 앞 스타트업 상점가,전통시장,55436,36.0,26.0,19.0,,,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130177,인왕시장(홍제골목형상점가),전통시장,38574,237.0,152.0,131.0,1.0,223083333.0,,,,,,,,2026Q2,2025Q4
3130176,유진상가,전통시장,22332,259.0,101.0,892.0,,,,,,,,,,2026Q2,2025Q4
3130175,신촌 상인회(신촌상점가),전통시장,57838,8.0,5.0,55.0,,,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130174,연희사러가,전통시장,42789,,,47.0,,,,,,,,,,2026Q2,2025Q4
3130173,백련시장,전통시장,63369,135.0,72.0,14.0,1.0,190250000.0,,,,,,,,2026Q2,2025Q4
3130172,모래내시장(서중시장),전통시장,199907,36.0,30.0,802.0,,,,,,,,,,2026Q2,2025Q4
3130171,불광먹자골목 골목형상점가,전통시장,219085,1214.0,861.0,469.0,17.0,135951569.0,1.0,0.0,0.0,2.0,0.0,0.0,236633659.0,2026Q2,2025Q4
3130170,제일시장,전통시장,84099,76.0,39.0,298.0,,,1.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130169,대조시장,전통시장,561537,1818.0,1157.0,191.0,38.0,136444472.0,0.0,1.0,0.0,1.0,,,,2026Q2,2025Q4
3130168,연서시장,전통시장,186551,283.0,153.0,691.0,1.0,165888889.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130167,연신내상점가(연빛거리),전통시장,1070258,1440.0,906.0,1492.0,15.0,124544280.0,1.0,0.0,0.0,2.0,0.0,0.0,993467892.0,2026Q2,2025Q4
3130166,응암시장(신응암시장),전통시장,33462,177.0,80.0,76.0,1.0,201000000.0,,,,,,,,2026Q2,2025Q4
3130165,"대림골목시장(대림시장, 양지시장)",전통시장,91992,453.0,249.0,199.0,8.0,130416979.0,,,,,,,,2026Q2,2025Q4
3130164,역촌중앙시장,전통시장,58151,1.0,1.0,34.0,1.0,160000000.0,,,,,,,,2026Q2,2025Q4
3130163,응암오거리상점가,전통시장,490991,1554.0,902.0,266.0,31.0,161410064.0,0.0,0.0,0.0,1.0,0.0,0.0,1563755282.0,2026Q2,2025Q4
3130162,증산골목시장,전통시장,53022,115.0,91.0,77.0,1.0,310444444.0,,,,,,,,2026Q2,2025Q4
3130161,증산종합시장,전통시장,16395,115.0,58.0,65.0,3.0,196250000.0,1.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130160,수일시장,전통시장,25980,81.0,59.0,125.0,,,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130159,공릉동 도깨비시장,전통시장,610120,1744.0,949.0,818.0,22.0,177160621.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130158,상계역전종합상가,전통시장,162498,903.0,467.0,386.0,2.0,244000000.0,,,,,,,,2026Q2,2025Q4
3130157,상계중앙시장,전통시장,895130,1600.0,925.0,224.0,23.0,144458776.0,1.0,1.0,0.0,0.0,,,,2026Q2,2025Q4
3130156,시영2단지 무지개종합상가(중계 무지개2단지아파트상가),전통시장,53844,389.0,212.0,47.0,1.0,268181818.0,,,,,,,,2026Q2,2025Q4
3130155,시영B상가(중계 그린아파트 B 상가),전통시장,48362,,,48.0,,,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130154,상계주공1단지(가)상가,전통시장,12419,50.0,22.0,45.0,1.0,410833333.0,,,,,,,,2026Q2,2025Q4
3130153,창동역상점가,전통시장,255728,153.0,141.0,694.0,,,0.0,1.0,0.0,2.0,0.0,0.0,1868608765.0,2026Q2,2025Q4
3130152,오!도봉거리 상점가,전통시장,113452,664.0,400.0,64.0,7.0,127350487.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130151,신도봉시장,전통시장,36606,148.0,74.0,28.0,1.0,79885714.0,,,,,,,,2026Q2,2025Q4
3130150,창동골목시장,전통시장,207858,1099.0,611.0,101.0,8.0,119509524.0,0.0,0.0,0.0,1.0,,,,2026Q2,2025Q4
3130149,창동신창시장,전통시장,636862,2193.0,973.0,355.0,46.0,142981048.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130148,방학동도깨비시장,전통시장,257977,986.0,506.0,107.0,10.0,103989514.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130147,쌍문역동측상점가,전통시장,470039,780.0,477.0,403.0,5.0,111708762.0,0.0,0.0,0.0,1.0,,,,2026Q2,2025Q4
3130146,쌍문시장(쌍문역골목시장),전통시장,1722258,3346.0,2001.0,529.0,49.0,128194062.0,2.0,1.0,0.0,0.0,0.0,0.0,122084374.0,2026Q2,2025Q4
3130145,쌍문역둘리상점가,전통시장,161063,1168.0,744.0,172.0,7.0,194798244.0,0.0,0.0,2.0,1.0,0.0,0.0,452119935.0,2026Q2,2025Q4
3130144,백운시장,전통시장,73654,381.0,186.0,36.0,9.0,141045735.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130143,방천골목시장,전통시장,249262,568.0,398.0,41.0,1.0,229909091.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130142,강북북부시장,전통시장,19038,,,15.0,,,,,,,,,,2026Q2,2025Q4
3130141,강북북부골목시장,전통시장,236349,976.0,501.0,43.0,6.0,158364562.0,,,,,,,,2026Q2,2025Q4
3130140,숭인시장,전통시장,49284,231.0,157.0,62.0,1.0,170166667.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130139,강북종합전통시장(강북종합골목시장),전통시장,624466,2397.0,1500.0,278.0,21.0,129155529.0,0.0,1.0,0.0,0.0,0.0,0.0,267366092.0,2026Q2,2025Q4
3130138,수유프라자,전통시장,25068,188.0,85.0,20.0,1.0,277666667.0,,,,,,,,2026Q2,2025Q4
3130137,"수유전통시장(수유시장, 수유골목시장)",전통시장,280992,539.0,314.0,156.0,5.0,132449000.0,0.0,0.0,0.0,2.0,,,,2026Q2,2025Q4
3130136,수유재래시장,전통시장,127490,617.0,259.0,56.0,11.0,153868880.0,,,,,,,,2026Q2,2025Q4
3130135,수유중앙골목시장(수유중앙시장),전통시장,192980,920.0,477.0,104.0,18.0,132626424.0,,,,,,,,2026Q2,2025Q4
3130134,"솔샘시장(미아6,7동골목시장)",전통시장,87214,124.0,70.0,194.0,,,,,,,,,,2026Q2,2025Q4
3130133,우이골목시장(우이시장),전통시장,328363,1555.0,762.0,232.0,40.0,123422969.0,2.0,1.0,0.0,1.0,0.0,0.0,427350058.0,2026Q2,2025Q4
3130132,삼양골목시장(삼양시장),전통시장,245747,780.0,527.0,65.0,6.0,190850000.0,1.0,1.0,0.0,0.0,,,,2026Q2,2025Q4
